Name,Code
OMPS_SO2_Lower_Troposphere,0
MODIS_Terra_AOD_Deep_Blue_Land,1
MODIS_Aqua_AOD_Deep_Blue_Land,2
MODIS_Terra_AOD_Deep_Blue_Combined,3
MODIS_Aqua_AOD_Deep_Blue_Combined,4
MODIS_Combined_MAIAC_L2G_AerosolOpticalDepth,5
MODIS_Combined_MAIAC_L2G_BidirectionalReflectance_Bands143,6
MODIS_Aqua_CorrectedReflectance_TrueColor,7
MODIS_Terra_CorrectedReflectance_TrueColor,8
VIIRS_SNPP_CorrectedReflectance_TrueColor,9
MODIS_Aqua_Cloud_Top_Height_Day,10
MODIS_Terra_Cloud_Top_Height_Day,11
VIIRS_SNPP_Cloud_Top_Height_Day,12
GOES-East_ABI_Band2_Red_Visible_1km,13
GOES-West_ABI_Band2_Red_Visible_1km,14
Himawari_AHI_Band3_Red_Visible_1km,15
