,target_lat,target_lon,YMDH,orbit,target_id,target_name
0,  38.497,-115.690,2019-10-10T19,02474,cal001,railroadValley
1,  30.040,   5.590,2021-08-08T10,12813,cal002,calibration_Algeria4
2,  21.570,   7.960,2021-08-10T08,12843,cal003,calibration_Niger3
3,  27.120,  26.100,2021-08-08T08,12812,cal004,calibration_Egypt1
4,  18.880,  46.760,2021-08-09T06,12826,cal005,calibration_Arabia5
5,  23.800,  -0.400,2021-08-08T10,12813,cal006,calibration_Algeria1
6,  19.400,  -9.300,2021-08-16T16,12941,cal007,calibration_Mauritania1
7,  28.550,  23.390,2021-05-24T14,11639,cal008,calibration_Libya4
8,  26.090,  -1.380,2021-08-16T06,12935,cal009,calibration_Algeria2
9,  19.670,   9.810,2021-08-11T07,12858,cal010,calibration_Niger1
10,  20.850,  -8.780,2021-09-02T09,13200,cal011,calibration_Mauritania2
11,  40.630,  22.970,2019-10-09T10,02453,coccon100,val_Thessaloniki_Greece
12, -23.560,  15.040,2019-09-24T12,02222,coccon101,val_Gobabeb_Namibia
13, -22.590,  27.120,2019-09-13T07,02048,coccon102,val_Biust_Botswana
14,   0.503,  33.209,2019-09-24T12,02222,coccon103,val_Jinja_Uganda
15,  -8.774, -63.870,2021-04-01T15,10819,coccon104,validation_portovelho
16,  30.500,   2.990,2019-10-12T09,02499,desert0000,Flat_Desert_Test_0000
17,  28.400,  24.300,2019-10-12T08,02498,desert0001,Flat_Desert_Test_0001
18, -23.990, 139.850,2019-10-06T23,02415,desert0002,Flat_Desert_Test_0002
19,  30.840,  10.000,2019-10-13T08,02514,desert0003,0003
20,  26.130,  30.860,2019-10-06T09,02406,desert0004,Flat_Desert_Test_0004
21, -21.900, 121.450,2019-09-22T06,02187,desert0005,Flat_Desert_Test_0005
22, -19.310, 125.750,2019-10-08T00,02431,desert0007,Flat_Desert_Test_0007
23,  31.360,  -1.000,2019-10-11T10,02484,desert0008,0008
24,  28.220,  18.840,2019-10-11T08,02483,desert0009,0009
25, -22.110, 122.720,2020-01-13T00,03934,desert0013,Flat_Desert_Test_0013
26, -33.465, -66.460,2019-09-20T18,02164,ecostress_ar_slu,ecostress_ar_slu
27, -28.240, -56.189,2019-09-14T12,02067,ecostress_ar_vir,ecostress_ar_vir
28, -22.283, 133.249,2019-09-14T23,02074,ecostress_au_asm,ecostress_au_asm
29, -33.615, 150.724,2020-11-05T01,08534,ecostress_au_cum,ecostress_au_cum
30, -14.159, 131.388,2020-01-04T02,03796,ecostress_au_das,ecostress_au_das
31, -15.259, 132.371,2019-09-23T05,02202,ecostress_au_dry,ecostress_au_dry
32, -12.495, 131.150,2020-08-22T07,07376,ecostress_au_how,ecostress_au_how
33, -13.179, 130.794,2019-12-23T07,03613,ecostress_au_lit,ecostress_au_lit
34, -17.151, 133.350,2019-10-08T23,02446,ecostress_au_stp,ecostress_au_stp
35, -35.657, 148.152,2019-09-14T23,02074,ecostress_au_tum,ecostress_au_tum
36, -37.422, 144.094,2020-02-26T06,04619,ecostress_au_wom,ecostress_au_wom
37, -34.989, 146.291,2019-10-05T22,02399,ecostress_au_ync,ecostress_au_ync
38,  51.530,  -1.482,2020-08-17T10,07301,ecostress_bdog,ecostress_bdog
39,  50.305,   5.998,2020-02-17T11,04483,ecostress_be_lon,ecostress_be_lon
40,  50.552,   4.746,2020-06-12T14,06281,ecostress_be_vie,ecostress_be_vie
41, -13.287, -56.088,2019-10-08T12,02439,ecostress_br_cmt,ecostress_br_cmt
42, -16.617, -56.767,2019-09-23T18,02210,ecostress_br_no,ecostress_br_no
43,  42.711, -80.426,2023-05-01T12,22589,ecostress_ca_tp,ecostress_ca_tp
44,  46.815,   9.856,2020-06-13T10,06294,ecostress_ch_dav,ecostress_ch_dav
45,  47.116,   8.538,2020-04-03T14,05197,ecostress_ch_fru,ecostress_ch_fru
46,  47.478,   8.364,2020-06-11T14,06266,ecostress_ch_lae,ecostress_ch_lae
47,  10.419, -85.473,2020-02-18T21,04505,ecostress_cr_fsc,ecostress_cr_fsc
48,  10.842, -85.616,2019-10-08T15,02441,ecostress_cr_srnp_emss,ecostress_cr_srnp_emss
49,  10.969, -85.521,2021-11-19T21,14415,ecostress_cr_srnp_emss,ecostress_cr_srnp_emss
50,  10.707, -85.516,2022-04-22T19,16799,ecostress_cr_srnp_emss,ecostress_cr_srnp_emss
51,  10.969, -85.521,2022-07-20T21,18179,ecostress_cr_srnp_emss,ecostress_cr_srnp_emss
52,  10.707, -85.516,2022-10-18T20,19573,ecostress_cr_srnp_emss,ecostress_cr_srnp_emss
53,  10.969, -85.521,2022-11-19T21,20069,ecostress_cr_srnp_emss,ecostress_cr_srnp_emss
54,  10.707, -85.516,2022-12-26T17,20640,ecostress_cr_srnp_emss,ecostress_cr_srnp_emss
55,  10.969, -85.521,2023-01-19T21,21014,ecostress_cr_srnp_emss,ecostress_cr_srnp_emss
56,  10.707, -85.516,2023-05-02T15,22606,ecostress_cr_srnp_emss,ecostress_cr_srnp_emss
57,  49.502,  18.537,2020-06-01T14,06111,ecostress_cz_bk1,ecostress_cz_bk1
58,  50.866,   6.447,2020-04-22T08,05488,ecostress_de_rus,ecostress_de_rus
59,  50.962,  13.565,2020-04-05T14,05228,ecostress_de_tha,ecostress_de_tha
60,  48.476,   2.780,2020-06-11T11,06264,ecostress_fr_fon,ecostress_fr_fon
61,  31.345,  35.052,2020-04-04T10,05210,ecostress_il_yat,ecostress_il_yat
62,  41.704,  12.357,2020-02-10T10,04374,ecostress_it_cp2,ecostress_it_cp2
63,  41.814,  12.467,2021-12-18T12,14858,ecostress_it_cp2,ecostress_it_cp2
64,  41.898,  12.720,2023-05-21T16,22901,ecostress_it_cp2,ecostress_it_cp2
65,  45.844,   7.578,2020-02-12T10,04405,ecostress_it_tor,ecostress_it_tor
66,  -3.426,  38.141,2019-10-07T07,02420,ecostress_ke_mak,ecostress_ke_mak
67,  37.748, 127.162,2020-04-14T07,05363,ecostress_kr_gck,ecostress_kr_gck
68,  13.648,   2.634,2019-08-08T10,01492,ecostress_ne_waf,ecostress_ne_waf
69, -43.593, 171.928,2020-05-24T00,05978,ecostress_nz_bfm,ecostress_nz_bfm
70, -37.388, 175.554,2019-09-22T01,02184,ecostress_nz_kop,ecostress_nz_kop
71, -43.262, 172.211,2019-09-16T21,02104,ecostress_nz_oxf,ecostress_nz_oxf
72, -37.460, 175.220,2019-09-18T03,02123,ecostress_nz_sco,ecostress_nz_sco
73,  51.207,  -2.828,2019-10-12T12,02501,ecostress_sleg,ecostress_sleg
74,  34.608, -81.722,2020-06-27T16,06515,ecostress_ssh_czo_cal,ecostress_ssh_czo_cal
75,  40.666, -77.904,2020-04-02T19,05185,ecostress_ssh_czo_shale,ecostress_ssh_czo_shale
76,  36.606, -97.489,2020-12-26T17,09334,ecostress_us_arm,ecostress_us_arm
77,  44.065, -71.288,2019-10-08T17,02442,ecostress_us_bar,ecostress_us_bar
78,  38.102,-121.504,2020-04-04T21,05217,ecostress_us_bi1,ecostress_us_bi1
79,  43.471,-119.691,2019-10-08T20,02444,ecostress_us_bsg,ecostress_us_bsg
